| OP         |   LEVEL |   COUNT |      EXEC |  LOAD(MB) |  DRAM(MB) |
|------------|---------|---------|-----------|-----------|-----------|
| input      |       3 |       0 |         1 |       0.0 |       0.0 |
| output     |       1 |       0 |         1 |       0.0 |       0.0 |
| addcc      |       2 |       0 |        10 |       0.0 |       0.0 |
| addcc      |       3 |       0 |        45 |       0.0 |       0.0 |
| addcp      |       2 |       0 |         1 |       0.0 |       0.0 |
| mulcp      |       2 |       0 |         1 |       0.0 |       0.0 |
| mulcp      |       3 |       0 |         9 |       0.0 |       0.0 |
| rotate     |       2 |       0 |         2 |       0.0 |       0.0 |
| rotate     |       3 |       0 |        53 |       0.0 |       0.0 |
| rescale    |       1 |       0 |         1 |       0.0 |       0.0 |
| rescale    |       2 |       0 |         9 |       0.0 |       0.0 |
| zero       |       1 |       0 |         3 |       0.0 |       0.0 |
