| OP         |   LEVEL |   COUNT |      EXEC |  LOAD(MB) |  DRAM(MB) |
|------------|---------|---------|-----------|-----------|-----------|
| input      |       3 |       0 |         1 |       0.0 |       0.0 |
| output     |       1 |       0 |         1 |       0.0 |       0.0 |
| addcc      |       2 |       0 |      6655 |       0.0 |       0.0 |
| addcc      |       3 |       0 |         3 |       0.0 |       0.0 |
| mulcp      |       2 |       0 |       512 |       0.0 |       0.0 |
| mulcp      |       3 |       0 |       512 |       0.0 |       0.0 |
| rotate     |       2 |       0 |      6655 |       0.0 |       0.0 |
| rotate     |       3 |       0 |         3 |       0.0 |       0.0 |
| rescale    |       1 |       0 |         1 |       0.0 |       0.0 |
| rescale    |       2 |       0 |       512 |       0.0 |       0.0 |
| zero       |       1 |       0 |         3 |       0.0 |       0.0 |
